Company,Tier,Source,US_HQ,B2B_SaaS,Gujarat_Presence,Gujarat_City,VC_Backed_Startup,Approx_Size,SaaS_Score_If_Candidate (AM Rubric),Notes
Vymo,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Possible,Unknown,Yes (VC-backed),201-500,3 (Non-US SaaS validated),"Sales engagement SaaS"
factoHR,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Rajkot,Yes,51-200,3 (Non-US SaaS validated),"HR/payroll SaaS; Gujarat-based"
Salesmate,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes (VC-backed),51-200,3 (Non-US SaaS validated),"CRM SaaS; Ahmedabad-based"
CallHippo,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes,51-200,3 (Non-US SaaS validated),"VoIP SaaS; Ahmedabad-based"
PetPooja,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes (VC-backed),201-500,3 (Non-US SaaS validated),"Restaurant POS SaaS; Ahmedabad-based"
VasyERP,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes,11-50,3 (Non-US SaaS validated),"ERP SaaS; Ahmedabad-based"
Odoo,Validated SaaS (Non-US),JD Rubric,No (Belgium HQ),Yes,Yes,Various India,Yes,1000+,3 (Non-US SaaS validated),"Open-source ERP/CRM SaaS"
Phonon Communications,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes,51-200,3 (Non-US SaaS validated),"Communication automation SaaS; Ahmedabad-based"
flydocs,Validated SaaS (Non-US),JD Rubric,No (UK HQ),Yes,Yes,Ahmedabad,Yes,201-500,3 (Non-US SaaS validated),"Aviation records SaaS"
Shipmnts,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes (VC-backed),51-200,3 (Non-US SaaS validated),"Logistics SaaS; Ahmedabad-based"
KlugKlug,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Possible,Unknown,Yes,11-50,3 (Non-US SaaS validated),"Influencer analytics SaaS"
Qoruz,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Possible,Unknown,Yes,11-50,3 (Non-US SaaS validated),"Influencer marketing SaaS"
Almashines,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes,11-50,3 (Non-US SaaS validated),"Alumni management SaaS; Ahmedabad-based"
TECHstile ERP,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Ahmedabad,Yes,11-50,3 (Non-US SaaS validated),"Textile ERP SaaS; Ahmedabad-based"
Tata Tele Business Services,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Yes,Various India,No (Tata group),1000+,3 (Non-US SaaS validated),"Business communications SaaS division"
Quick Heal / SEQRITE,Validated SaaS (Non-US),JD Rubric,No (India HQ),Yes,Possible,Pune,No (public),1000+,3 (Non-US SaaS validated),"Cybersecurity SaaS"
Adit (Grow with Adit),New Addition,LinkedIn URL provided,Yes (Remote US),Yes,Likely (5 continents),Unknown,Unknown,~493,4 (US HQ SaaS),"Dental practice management SaaS; all-in-one AI-powered; ~$100-250M revenue; founded 2013; linkedin.com/company/grow-with-adit"
